parent_component_id,parent_component_class,parent_component_cost,child_component_id,child_component_class,child_component_cost,child_specialized_only,quantity_required
LRU_1,lru,1112,LRU_1_1,sru,337,0,1
LRU_1_1,sru,337,PART_11,part,,0,1
LRU_1_1,sru,337,PART_1,part,,0,3
LRU_1_1,sru,337,PART_15,part,,0,1
LRU_1,lru,1112,LRU_1_2,sru,484,0,1
LRU_1_2,sru,484,PART_9,part,,0,1
LRU_1_2,sru,484,PART_8,part,,0,3
LRU_1_2,sru,484,PART_11,part,,0,1
LRU_2,lru,1115,LRU_2_1,sru,166,0,1
LRU_2_1,sru,166,PART_12,part,,1,1
LRU_2_1,sru,166,PART_17,part,,0,3
LRU_2_1,sru,166,PART_3,part,,0,1
LRU_2,lru,1115,LRU_2_2,sru,184,0,1
LRU_2_2,sru,184,PART_2,part,,1,2
LRU_2_2,sru,184,PART_1,part,,0,1
LRU_2_2,sru,184,PART_6,part,,0,1
LRU_3,lru,901,LRU_3_1,sru,172,0,1
LRU_3_1,sru,172,PART_5,part,,1,2
LRU_3_1,sru,172,PART_2,part,,1,3
LRU_3_1,sru,172,PART_1,part,,0,3
LRU_3,lru,901,LRU_3_2,sru,322,0,2
LRU_3_2,sru,322,PART_1,part,,0,3
LRU_3_2,sru,322,PART_10,part,,0,3
LRU_3_2,sru,322,PART_8,part,,0,3
LRU_4,lru,1311,LRU_4_1,sru,228,0,2
LRU_4_1,sru,228,PART_8,part,,0,3
LRU_4_1,sru,228,PART_3,part,,0,2
LRU_4_1,sru,228,PART_11,part,,0,1
LRU_4,lru,1311,LRU_4_2,sru,215,0,2
LRU_4_2,sru,215,PART_16,part,,0,2
LRU_4_2,sru,215,PART_11,part,,0,2
LRU_4_2,sru,215,PART_3,part,,0,2
LRU_5,lru,918,LRU_5_1,sru,493,0,1
LRU_5_1,sru,493,PART_9,part,,0,1
LRU_5_1,sru,493,PART_2,part,,1,1
LRU_5_1,sru,493,PART_3,part,,0,1
LRU_5,lru,918,LRU_5_2,sru,268,0,1
LRU_5_2,sru,268,PART_8,part,,0,2
LRU_5_2,sru,268,PART_17,part,,0,1
LRU_5_2,sru,268,PART_12,part,,1,2
