node_id,component_id,quantity
LOCAL_1,LRU_2_1,1
LOCAL_1,LRU_3_1,1
LOCAL_1,PART_1,5
LOCAL_1,PART_2,10
LOCAL_1,PART_4,9
LOCAL_1,PART_7,10
LOCAL_1,PART_8,3
LOCAL_1,PART_11,7
LOCAL_1,PART_13,8
LOCAL_1,PART_15,9
LOCAL_1,PART_16,5
LOCAL_2,LRU_2_2,1
LOCAL_2,LRU_3_1,1
LOCAL_2,LRU_5_2,1
LOCAL_2,PART_1,7
LOCAL_2,PART_4,6
LOCAL_2,PART_5,3
LOCAL_2,PART_7,9
LOCAL_2,PART_8,4
LOCAL_2,PART_9,4
LOCAL_2,PART_10,3
LOCAL_2,PART_11,8
LOCAL_2,PART_12,7
LOCAL_2,PART_13,7
LOCAL_2,PART_15,9
LOCAL_2,PART_16,5
LOCAL_3,LRU_4_2,1
LOCAL_3,PART_1,4
LOCAL_3,PART_2,4
LOCAL_3,PART_4,10
LOCAL_3,PART_5,6
LOCAL_3,PART_7,5
LOCAL_3,PART_9,5
LOCAL_3,PART_10,5
LOCAL_3,PART_11,6
LOCAL_3,PART_12,4
LOCAL_3,PART_15,10
LOCAL_3,PART_16,6
LOCAL_4,PART_2,8
LOCAL_4,PART_4,4
LOCAL_4,PART_5,9
LOCAL_4,PART_7,4
LOCAL_4,PART_8,8
LOCAL_4,PART_10,5
LOCAL_4,PART_11,10
LOCAL_4,PART_12,5
LOCAL_4,PART_13,4
LOCAL_4,PART_16,5
REGWH_1,LRU_1_1,2
REGWH_1,LRU_1_2,5
REGWH_1,LRU_2_1,5
REGWH_1,LRU_2_2,5
REGWH_1,LRU_3_2,5
REGWH_1,LRU_4_2,3
REGWH_1,LRU_5_1,5
REGWH_1,LRU_5_2,2
REGWH_1,PART_1,16
REGWH_1,PART_2,27
REGWH_1,PART_4,15
REGWH_1,PART_5,27
REGWH_1,PART_7,23
REGWH_1,PART_8,15
REGWH_1,PART_9,11
REGWH_1,PART_12,28
REGWH_1,PART_13,14
REGWH_1,PART_15,27
REGWH_1,PART_16,12
REGWH_2,LRU_1_1,3
REGWH_2,LRU_1_2,3
REGWH_2,LRU_2_1,3
REGWH_2,LRU_2_2,6
REGWH_2,LRU_5_1,6
REGWH_2,LRU_5_2,5
REGWH_2,PART_1,8
REGWH_2,PART_2,24
REGWH_2,PART_5,15
REGWH_2,PART_7,15
REGWH_2,PART_8,13
REGWH_2,PART_9,17
REGWH_2,PART_10,14
REGWH_2,PART_11,9
REGWH_2,PART_12,26
REGWH_2,PART_13,8
REGWH_2,PART_16,14
DEPOT_1,LRU_1,2
DEPOT_1,LRU_3,1
DEPOT_1,LRU_4,1
DEPOT_1,LRU_1_1,6
DEPOT_1,LRU_1_2,9
DEPOT_1,LRU_2_1,11
DEPOT_1,LRU_2_2,6
DEPOT_1,LRU_3_1,7
DEPOT_1,LRU_3_2,12
DEPOT_1,LRU_4_1,12
DEPOT_1,LRU_5_1,11
DEPOT_1,LRU_5_2,12
DEPOT_1,PART_1,93
DEPOT_1,PART_2,62
DEPOT_1,PART_4,62
DEPOT_1,PART_5,75
DEPOT_1,PART_7,80
DEPOT_1,PART_8,120
DEPOT_1,PART_9,37
DEPOT_1,PART_10,46
DEPOT_1,PART_11,111
DEPOT_1,PART_12,52
DEPOT_1,PART_13,108
DEPOT_1,PART_15,84
DEPOT_1,PART_16,98
SPEC_1,LRU_1_1,5
SPEC_1,LRU_1_2,5
SPEC_1,LRU_2_1,6
SPEC_1,LRU_3_1,6
SPEC_1,LRU_3_2,6
SPEC_1,LRU_4_1,3
SPEC_1,LRU_4_2,4
SPEC_1,LRU_5_1,2
SPEC_1,LRU_5_2,6
SPEC_1,PART_2,21
SPEC_1,PART_3,36
SPEC_1,PART_4,21
SPEC_1,PART_5,31
SPEC_1,PART_6,21
SPEC_1,PART_7,22
SPEC_1,PART_8,12
SPEC_1,PART_9,39
SPEC_1,PART_10,15
SPEC_1,PART_11,42
SPEC_1,PART_12,23
SPEC_1,PART_13,36
SPEC_1,PART_14,13
SPEC_1,PART_15,26
SPEC_1,PART_16,13
SPEC_1,PART_17,14
SPEC_2,LRU_2_1,4
SPEC_2,LRU_3_1,4
SPEC_2,LRU_3_2,6
SPEC_2,LRU_5_2,5
SPEC_2,PART_1,37
SPEC_2,PART_2,15
SPEC_2,PART_3,35
SPEC_2,PART_4,41
SPEC_2,PART_5,41
SPEC_2,PART_6,29
SPEC_2,PART_7,45
SPEC_2,PART_10,27
SPEC_2,PART_11,41
SPEC_2,PART_13,27
SPEC_2,PART_14,37
SPEC_2,PART_15,15
SPEC_2,PART_16,13
SPEC_2,PART_17,12
SPEC_3,LRU_1_2,4
SPEC_3,LRU_2_2,3
SPEC_3,LRU_3_2,2
SPEC_3,LRU_4_1,4
SPEC_3,LRU_4_2,4
SPEC_3,LRU_5_2,4
SPEC_3,PART_3,24
SPEC_3,PART_6,45
SPEC_3,PART_7,21
SPEC_3,PART_8,19
SPEC_3,PART_9,19
SPEC_3,PART_10,15
SPEC_3,PART_12,26
SPEC_3,PART_13,35
SPEC_3,PART_14,41
SPEC_3,PART_15,41
SPEC_3,PART_16,20
SPEC_3,PART_17,38
SPEC_4,LRU_1_1,2
SPEC_4,LRU_1_2,4
SPEC_4,LRU_2_1,3
SPEC_4,LRU_4_1,2
SPEC_4,LRU_4_2,4
SPEC_4,LRU_5_1,4
SPEC_4,LRU_5_2,6
SPEC_4,PART_1,25
SPEC_4,PART_2,13
SPEC_4,PART_3,35
SPEC_4,PART_4,35
SPEC_4,PART_5,31
SPEC_4,PART_6,22
SPEC_4,PART_7,28
SPEC_4,PART_8,30
SPEC_4,PART_10,19
SPEC_4,PART_12,39
SPEC_4,PART_13,20
SPEC_4,PART_14,20
SPEC_4,PART_15,42
SPEC_4,PART_16,13
SPEC_4,PART_17,44
