arc_id,from_node,to_node,cost,time_cost
ARC_1,CUST_1,LOCAL_1,20,22
ARC_2,LOCAL_1,CUST_1,20,22
ARC_3,CUST_1,LOCAL_2,33,35
ARC_4,LOCAL_2,CUST_1,33,35
ARC_5,CUST_2,LOCAL_2,25,27
ARC_6,LOCAL_2,CUST_2,25,27
ARC_7,CUST_2,LOCAL_3,32,34
ARC_8,LOCAL_3,CUST_2,32,34
ARC_9,CUST_3,LOCAL_3,18,20
ARC_10,LOCAL_3,CUST_3,18,20
ARC_11,CUST_3,LOCAL_2,34,36
ARC_12,LOCAL_2,CUST_3,34,36
ARC_13,CUST_4,LOCAL_4,26,28
ARC_14,LOCAL_4,CUST_4,26,28
ARC_15,CUST_4,LOCAL_3,32,34
ARC_16,LOCAL_3,CUST_4,32,34
ARC_17,LOCAL_1,REGWH_1,26,32
ARC_18,REGWH_1,LOCAL_1,26,32
ARC_19,LOCAL_1,REGWH_2,89,101
ARC_20,REGWH_2,LOCAL_1,89,101
ARC_21,LOCAL_2,REGWH_1,29,35
ARC_22,REGWH_1,LOCAL_2,29,35
ARC_23,LOCAL_2,REGWH_2,67,76
ARC_24,REGWH_2,LOCAL_2,67,76
ARC_25,LOCAL_3,REGWH_2,43,50
ARC_26,REGWH_2,LOCAL_3,43,50
ARC_27,LOCAL_3,REGWH_1,49,57
ARC_28,REGWH_1,LOCAL_3,49,57
ARC_29,LOCAL_4,REGWH_2,14,18
ARC_30,REGWH_2,LOCAL_4,14,18
ARC_31,LOCAL_4,REGWH_1,70,80
ARC_32,REGWH_1,LOCAL_4,70,80
ARC_33,REGWH_1,DEPOT_1,35,27
ARC_34,DEPOT_1,REGWH_1,35,27
ARC_35,REGWH_2,DEPOT_1,63,49
ARC_36,DEPOT_1,REGWH_2,63,49
ARC_37,REGWH_1,SPEC_1,30,49
ARC_38,SPEC_1,REGWH_1,30,49
ARC_39,REGWH_2,SPEC_4,35,56
ARC_40,SPEC_4,REGWH_2,35,56
ARC_41,SPEC_1,DEPOT_1,41,59
ARC_42,DEPOT_1,SPEC_1,41,59
ARC_43,SPEC_2,DEPOT_1,19,29
ARC_44,DEPOT_1,SPEC_2,19,29
ARC_45,SPEC_3,DEPOT_1,23,35
ARC_46,DEPOT_1,SPEC_3,23,35
ARC_47,SPEC_4,DEPOT_1,49,71
ARC_48,DEPOT_1,SPEC_4,49,71
