node_id,component_id,repair_cost_multiplier,repair_time_multiplier
LOCAL_1,LRU_1_2,1.2,0.95
LOCAL_1,LRU_2_1,1.2,0.95
LOCAL_1,LRU_5_2,1.2,0.95
LOCAL_2,LRU_1_2,1.2,0.95
LOCAL_2,LRU_2_1,1.2,0.95
LOCAL_2,LRU_5_2,1.2,0.95
LOCAL_3,LRU_1_2,1.2,0.95
LOCAL_3,LRU_2_1,1.2,0.95
LOCAL_3,LRU_2_2,1.2,0.95
LOCAL_3,LRU_3_2,1.2,0.95
LOCAL_3,LRU_4_1,1.2,0.95
LOCAL_3,LRU_5_2,1.2,0.95
LOCAL_4,LRU_1_2,1.2,0.95
LOCAL_4,LRU_2_1,1.2,0.95
LOCAL_4,LRU_2_2,1.2,0.95
LOCAL_4,LRU_3_2,1.2,0.95
LOCAL_4,LRU_4_1,1.2,0.95
LOCAL_4,LRU_5_2,1.2,0.95
REGWH_1,LRU_1_2,1.0,1.1
REGWH_1,LRU_2_1,1.0,1.1
REGWH_1,LRU_2_2,1.0,1.1
REGWH_1,LRU_3_2,1.0,1.1
REGWH_1,LRU_4_1,1.0,1.1
REGWH_1,LRU_5_2,1.0,1.1
REGWH_2,LRU_1_2,1.0,1.1
REGWH_2,LRU_2_1,1.0,1.1
REGWH_2,LRU_2_2,1.0,1.1
REGWH_2,LRU_3_2,1.0,1.1
REGWH_2,LRU_4_1,1.0,1.1
REGWH_2,LRU_5_2,1.0,1.1
DEPOT_1,LRU_1,0.85,1.25
DEPOT_1,LRU_2,0.85,1.25
DEPOT_1,LRU_3,0.85,1.25
DEPOT_1,LRU_4,0.85,1.25
DEPOT_1,LRU_5,0.85,1.25
DEPOT_1,LRU_1_1,0.85,1.25
DEPOT_1,LRU_1_2,0.85,1.25
DEPOT_1,LRU_2_1,0.85,1.25
DEPOT_1,LRU_2_2,0.85,1.25
DEPOT_1,LRU_3_1,0.85,1.25
DEPOT_1,LRU_3_2,0.85,1.25
DEPOT_1,LRU_4_1,0.85,1.25
DEPOT_1,LRU_4_2,0.85,1.25
DEPOT_1,LRU_5_1,0.85,1.25
DEPOT_1,LRU_5_2,0.85,1.25
SPEC_1,LRU_1,1.4,0.8
SPEC_1,LRU_2,1.4,0.8
SPEC_1,LRU_3,1.4,0.8
SPEC_1,LRU_4,1.4,0.8
SPEC_1,LRU_5,1.4,0.8
SPEC_1,LRU_1_1,1.4,0.8
SPEC_1,LRU_1_2,1.4,0.8
SPEC_1,LRU_2_1,1.4,0.8
SPEC_1,LRU_2_2,1.4,0.8
SPEC_1,LRU_3_1,1.4,0.8
SPEC_1,LRU_3_2,1.4,0.8
SPEC_1,LRU_4_1,1.4,0.8
SPEC_1,LRU_4_2,1.4,0.8
SPEC_1,LRU_5_1,1.4,0.8
SPEC_1,LRU_5_2,1.4,0.8
SPEC_2,LRU_1,1.4,0.8
SPEC_2,LRU_2,1.4,0.8
SPEC_2,LRU_4,1.4,0.8
SPEC_2,LRU_1_1,1.4,0.8
SPEC_2,LRU_1_2,1.4,0.8
SPEC_2,LRU_2_1,1.4,0.8
SPEC_2,LRU_2_2,1.4,0.8
SPEC_2,LRU_3_1,1.4,0.8
SPEC_2,LRU_3_2,1.4,0.8
SPEC_2,LRU_4_1,1.4,0.8
SPEC_2,LRU_4_2,1.4,0.8
SPEC_2,LRU_5_1,1.4,0.8
SPEC_2,LRU_5_2,1.4,0.8
SPEC_3,LRU_1,1.4,0.8
SPEC_3,LRU_2,1.4,0.8
SPEC_3,LRU_3,1.4,0.8
SPEC_3,LRU_4,1.4,0.8
SPEC_3,LRU_5,1.4,0.8
SPEC_3,LRU_1_1,1.4,0.8
SPEC_3,LRU_1_2,1.4,0.8
SPEC_3,LRU_2_1,1.4,0.8
SPEC_3,LRU_2_2,1.4,0.8
SPEC_3,LRU_3_1,1.4,0.8
SPEC_3,LRU_3_2,1.4,0.8
SPEC_3,LRU_4_1,1.4,0.8
SPEC_3,LRU_4_2,1.4,0.8
SPEC_3,LRU_5_1,1.4,0.8
SPEC_3,LRU_5_2,1.4,0.8
SPEC_4,LRU_1,1.4,0.8
SPEC_4,LRU_2,1.4,0.8
SPEC_4,LRU_4,1.4,0.8
SPEC_4,LRU_1_1,1.4,0.8
SPEC_4,LRU_1_2,1.4,0.8
SPEC_4,LRU_2_1,1.4,0.8
SPEC_4,LRU_2_2,1.4,0.8
SPEC_4,LRU_3_1,1.4,0.8
SPEC_4,LRU_3_2,1.4,0.8
SPEC_4,LRU_4_1,1.4,0.8
SPEC_4,LRU_4_2,1.4,0.8
SPEC_4,LRU_5_1,1.4,0.8
SPEC_4,LRU_5_2,1.4,0.8
