node_id,node_type,x,y,repair_capability,repair_capacity
CUST_1,customer,12.898,91.206,0,0
CUST_2,customer,7.198,60.274,0,0
CUST_3,customer,12.195,37.271,0,0
CUST_4,customer,14.801,10.089,0,0
LOCAL_1,local_shop,32.402,87.445,4,37
LOCAL_2,local_shop,32.159,64.657,4,60
LOCAL_3,local_shop,34.912,34.104,5,38
LOCAL_4,local_shop,40.308,11.516,5,55
REGWH_1,regional_warehouse,51.34,100.0,4,126
REGWH_2,regional_warehouse,57.781,12.383,5,112
DEPOT_1,central_depot,81.272,54.588,8,321
SPEC_1,specialized_shop,88.252,96.579,7,87
SPEC_2,specialized_shop,94.153,64.494,7,60
SPEC_3,specialized_shop,83.26,35.265,8,57
SPEC_4,specialized_shop,89.389,11.408,7,67
